Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,D'Andre Swift (39971403),D'Andre Swift,39971403,RB/FLEX,5700,CHI@DET 09/14/2025 01:00PM ET,CHI,9.5
WR,Jameson Williams (39971687),Jameson Williams,39971687,WR/FLEX,5700,CHI@DET 09/14/2025 01:00PM ET,DET,6.6
QB,Justin Fields (39971307),Justin Fields,39971307,QB,5700,BUF@NYJ 09/14/2025 01:00PM ET,NYJ,29.52
WR,Xavier Worthy (39971689),Xavier Worthy,39971689,WR/FLEX,5700,PHI@KC 09/14/2025 04:25PM ET,KC,0
QB,Trevor Lawrence (39971308),Trevor Lawrence,39971308,QB,5600,JAX@CIN 09/14/2025 01:00PM ET,JAX,11.32
WR,DJ Moore (39971691),DJ Moore,39971691,WR/FLEX,5600,CHI@DET 09/14/2025 01:00PM ET,CHI,9.6
RB,Kenneth Walker III (39971407),Kenneth Walker III,39971407,RB/FLEX,5600,SEA@PIT 09/14/2025 01:00PM ET,SEA,5.4
RB,J.K. Dobbins (39971409),J.K. Dobbins,39971409,RB/FLEX,5600,DEN@IND 09/14/2025 04:05PM ET,DEN,14.8
WR,DeVonta Smith (39971693),DeVonta Smith,39971693,WR/FLEX,5600,PHI@KC 09/14/2025 04:25PM ET,PHI,4.6
RB,TreVeyon Henderson (39971413),TreVeyon Henderson,39971413,RB/FLEX,5500,NE@MIA 09/14/2025 01:00PM ET,NE,11.1
TE,George Kittle (39972097),George Kittle,39972097,TE/FLEX,5500,SF@NO 09/14/2025 01:00PM ET,SF,12.5
WR,Khalil Shakir (39971695),Khalil Shakir,39971695,WR/FLEX,5500,BUF@NYJ 09/14/2025 01:00PM ET,BUF,12.4
QB,Aaron Rodgers (39971309),Aaron Rodgers,39971309,QB,5500,SEA@PIT 09/14/2025 01:00PM ET,PIT,25.66
RB,Isiah Pacheco (39971411),Isiah Pacheco,39971411,RB/FLEX,5500,PHI@KC 09/14/2025 04:25PM ET,KC,4.8
QB,Caleb Williams (39971310),Caleb Williams,39971310,QB,5400,CHI@DET 09/14/2025 01:00PM ET,CHI,24.2
RB,David Montgomery (39971415),David Montgomery,39971415,RB/FLEX,5400,CHI@DET 09/14/2025 01:00PM ET,DET,8.3
WR,Jaylen Waddle (39971697),Jaylen Waddle,39971697,WR/FLEX,5400,NE@MIA 09/14/2025 01:00PM ET,MIA,7
RB,Jaylen Warren (39971417),Jaylen Warren,39971417,RB/FLEX,5400,SEA@PIT 09/14/2025 01:00PM ET,PIT,13.9
WR,Tetairoa McMillan (39971699),Tetairoa McMillan,39971699,WR/FLEX,5400,CAR@ARI 09/14/2025 04:05PM ET,CAR,11.8
WR,Jerry Jeudy (39971701),Jerry Jeudy,39971701,WR/FLEX,5300,CLE@BAL 09/14/2025 01:00PM ET,CLE,11.6
RB,Tyrone Tracy Jr. (39971421),Tyrone Tracy Jr.,39971421,RB/FLEX,5300,NYG@DAL 09/14/2025 01:00PM ET,NYG,5.5
QB,Tua Tagovailoa (39971311),Tua Tagovailoa,39971311,QB,5300,NE@MIA 09/14/2025 01:00PM ET,MIA,8.26
WR,Ricky Pearsall (39971703),Ricky Pearsall,39971703,WR/FLEX,5300,SF@NO 09/14/2025 01:00PM ET,SF,17.8
RB,RJ Harvey (39971419),RJ Harvey,39971419,RB/FLEX,5300,DEN@IND 09/14/2025 04:05PM ET,DEN,7.9
RB,Dylan Sampson (39971423),Dylan Sampson,39971423,RB/FLEX,5200,CLE@BAL 09/14/2025 01:00PM ET,CLE,17.3
WR,Travis Hunter (39971705),Travis Hunter,39971705,WR/FLEX,5200,JAX@CIN 09/14/2025 01:00PM ET,JAX,9.3
QB,Drake Maye (39971312),Drake Maye,39971312,QB,5200,NE@MIA 09/14/2025 01:00PM ET,NE,16.78
RB,Braelon Allen (39971425),Braelon Allen,39971425,RB/FLEX,5200,BUF@NYJ 09/14/2025 01:00PM ET,NYJ,6.9
QB,Daniel Jones (39971313),Daniel Jones,39971313,QB,5200,DEN@IND 09/14/2025 04:05PM ET,IND,29.48
WR,Hollywood Brown (39971707),Hollywood Brown,39971707,WR/FLEX,5200,PHI@KC 09/14/2025 04:25PM ET,KC,19.9
RB,Quinshon Judkins (39971429),Quinshon Judkins,39971429,RB/FLEX,5100,CLE@BAL 09/14/2025 01:00PM ET,CLE,0
QB,Russell Wilson (39971315),Russell Wilson,39971315,QB,5100,NYG@DAL 09/14/2025 01:00PM ET,NYG,11.12
WR,Keon Coleman (39971711),Keon Coleman,39971711,WR/FLEX,5100,BUF@NYJ 09/14/2025 01:00PM ET,BUF,28.2
RB,Zach Charbonnet (39971427),Zach Charbonnet,39971427,RB/FLEX,5100,SEA@PIT 09/14/2025 01:00PM ET,SEA,10.7
QB,Bryce Young (39971314),Bryce Young,39971314,QB,5100,CAR@ARI 09/14/2025 04:05PM ET,CAR,11.16
WR,Michael Pittman Jr. (39971709),Michael Pittman Jr.,39971709,WR/FLEX,5100,DEN@IND 09/14/2025 04:05PM ET,IND,20
QB,Joe Flacco (39971317),Joe Flacco,39971317,QB,5000,CLE@BAL 09/14/2025 01:00PM ET,CLE,14.2
RB,Rhamondre Stevenson (39971433),Rhamondre Stevenson,39971433,RB/FLEX,5000,NE@MIA 09/14/2025 01:00PM ET,NE,4.7
WR,Stefon Diggs (39971713),Stefon Diggs,39971713,WR/FLEX,5000,NE@MIA 09/14/2025 01:00PM ET,NE,11.7
RB,Brian Robinson Jr. (39971431),Brian Robinson Jr.,39971431,RB/FLEX,5000,SF@NO 09/14/2025 01:00PM ET,SF,4.7
QB,Sam Darnold (39971316),Sam Darnold,39971316,QB,5000,SEA@PIT 09/14/2025 01:00PM ET,SEA,6.4
