start_date,draftableid,displayname,position,firstname,lastname,shortname
2019-09-08,13040583,49ers ,DST,49ers,,49ers
2019-09-08,13041817,A.J. Brown,WR,A.J.,Brown,A. Brown
2019-09-08,13040685,A.J. Green,WR,A.J.,Green,A. Green
2019-09-08,13041517,A.J. Ouellette,RB,A.J.,Ouellette,A. Ouellette
2019-09-08,13041389,A.J. Richardson,WR,A.J.,Richardson,A. Richardson
2019-09-08,13041669,Aca'Cedric Ware,RB,Aca'Cedric,Ware,A. Ware
2019-09-08,13040892,Adam Humphries,WR,Adam,Humphries,A. Humphries
2019-09-08,13041159,Adam Thielen,WR,Adam,Thielen,A. Thielen
2019-09-08,13040616,Adrian Peterson,RB,Adrian,Peterson,A. Peterson
2019-09-08,13040823,Albert Wilson,WR,Albert,Wilson,A. Wilson
2019-09-08,13040662,Aldrick Robinson,WR,Aldrick,Robinson,A. Robinson
2019-09-08,13041833,Alex Armah,RB,Alex,Armah,A. Armah
2019-09-08,13041718,Alex Bachman,WR,Alex,Bachman,A. Bachman
2019-09-08,13041616,Alex Barnes,RB,Alex,Barnes,A. Barnes
2019-09-08,13040993,Alex Erickson,WR,Alex,Erickson,A. Erickson
2019-09-08,13040771,Alex Gray,TE,Alex,Gray,A. Gray
2019-09-08,13041397,Alex McGough,QB,Alex,McGough,A. McGough
2019-09-08,13040603,Alex Smith,QB,Alex,Smith,A. Smith
2019-09-08,13040980,Alex Tanney,QB,Alex,Tanney,A. Tanney
2019-09-08,13041541,Alex Wesley,WR,Alex,Wesley,A. Wesley
2019-09-08,13041843,Alexander Hollins,WR,Alexander,Hollins,A. Hollins
2019-09-08,13041813,Alexander Mattison,RB,Alexander,Mattison,A. Mattison
2019-09-08,13040773,Alfred Blue,RB,Alfred,Blue,A. Blue
2019-09-08,13268490,Alfred Morris,RB,Alfred,Morris,A. Morris
2019-09-08,13040779,Allen Hurns,WR,Allen,Hurns,A. Hurns
2019-09-08,13041091,Alonzo Russell,WR,Alonzo,Russell,A. Russell
2019-09-08,13040745,Alshon Jeffery,WR,Alshon,Jeffery,A. Jeffery
2019-09-08,13041079,Amara Darboh,WR,Amara,Darboh,A. Darboh
2019-09-08,13040983,Amari Cooper,WR,Amari,Cooper,A. Cooper
2019-09-08,13040858,Ameer Abdullah,RB,Ameer,Abdullah,A. Abdullah
2019-09-08,13040701,Andre Ellington,RB,Andre,Ellington,A. Ellington
2019-09-08,13041220,Andre Levrone,WR,Andre,Levrone,A. Levrone
2019-09-08,13041224,Andre Patton,WR,Andre,Patton,A. Patton
2019-09-08,13040631,Andre Roberts,WR,Andre,Roberts,A. Roberts
2019-09-08,13040695,Andrew Luck,QB,Andrew,Luck,A. Luck
2019-09-08,13041291,Andrew Vollert,TE,Andrew,Vollert,A. Vollert
2019-09-08,13040625,Andy Dalton,QB,Andy,Dalton,A. Dalton
2019-09-08,13041647,Andy Isabella,WR,Andy,Isabella,A. Isabella
2019-09-08,13041111,Andy Jones,WR,Andy,Jones,A. Jones
2019-09-08,13041307,Anthony Firkser,TE,Anthony,Firkser,A. Firkser
2019-09-08,13041820,Anthony Johnson,WR,Anthony,Johnson,A. Johnson
2019-09-08,13041587,Anthony Ratliff-Williams,WR,Anthony,Ratliff-Williams,A. Ratliff-Williams
2019-09-08,13040659,Anthony Sherman,RB,Anthony,Sherman,A. Sherman
2019-09-08,13041807,Antoine Wesley,WR,Antoine,Wesley,A. Wesley
2019-09-08,13041651,Antonio Callaway,WR,Antonio,Callaway,A. Callaway
2019-09-08,13041837,Antony Auclair,TE,Antony,Auclair,A. Auclair
2019-09-08,13041400,Artavis Scott,WR,Artavis,Scott,A. Scott
2019-09-08,13041879,Ashton Dulin,WR,Ashton,Dulin,A. Dulin
2019-09-08,13041698,Auden Tate,WR,Auden,Tate,A. Tate
2019-09-08,13041314,Austin Ekeler,RB,Austin,Ekeler,A. Ekeler
2019-09-08,13041175,Austin Hooper,TE,Austin,Hooper,A. Hooper
2019-09-08,13041377,Austin Proehl,WR,Austin,Proehl,A. Proehl
2019-09-08,13040937,Austin Traylor,TE,Austin,Traylor,A. Traylor
2019-09-08,13041550,Austin Walter,RB,Austin,Walter,A. Walter
2019-09-08,13041254,Baker Mayfield,QB,Baker,Mayfield,B. Mayfield
2019-09-08,13040699,Beau Brinkley,TE,Beau,Brinkley,B. Brinkley
2019-09-08,13040969,Ben Koyack,TE,Ben,Koyack,B. Koyack
2019-09-08,13040568,Bengals ,DST,Bengals,,Bengals
2019-09-08,13040760,Bennie Fowler III,WR,Bennie,Fowler III,B. Fowler III
2019-09-08,13040735,Benny Cunningham,RB,Benny,Cunningham,B. Cunningham
2019-09-08,13040664,Bilal Powell,RB,Bilal,Powell,B. Powell
2019-09-08,13040567,Bills ,DST,Bills,,Bills
2019-09-08,13041841,Billy Brown,TE,Billy,Brown,B. Brown
2019-09-08,13040698,Blaine Gabbert,QB,Blaine,Gabbert,B. Gabbert
2019-09-08,13040781,Blake Bell,TE,Blake,Bell,B. Bell
2019-09-08,13040842,Blake Bortles,QB,Blake,Bortles,B. Bortles
2019-09-08,13041031,Blake Jackson,WR,Blake,Jackson,B. Jackson
