,rating,name,salary,team,opp,exposure_min,exposure_max,projections_proj,projections_ceiling,projections_floor,projections_proj+/-,projections_pts/sal,projections_projown,projections_imppts,projections_leverage+/-,projections_leverage,trends_pro,trends_my,trends_bargain,trends_opp+/-,trends_snaps,vegas_pts,vegas_opppts,vegas_δ,vegas_spread,vegas_o/u,vegas_spread%,passingyear_comp,passingyear_att,passingyear_yards,passingyear_%,passingyear_y/a,passingyear_adjypa,passingyear_td,passingyear_long,passingyear_cay,passingyear_iay,passingyear_%rb,passingyear_%wr,passingyear_%te,passingyear_td%,passingyear_int%,passingyear_sack%,rushingyear_att,rushingyear_rushlong,rushingyear_yards,rushingyear_y/a,rushingyear_td,rushingyear_successrate,redzoneyear_opp,redzoneyear_opp10,redzoneyear_opp5,weather_temp,weather_humidity,weather_precip%,fantasymonth_ppg,fantasymonth_change,fantasymonth_fp/oppor,fantasymonth_fp/snap,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_change,fantasyyear_fp/oppor,fantasyyear_fp/snap,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,passingmonth_cay,passingmonth_iay,slate_id,pos,marketshareyear_rushtd,marketshareyear_rushyds,marketshareyear_snaps,receivingyear_tgts,receivingyear_receptions,receivingyear_yds,receivingyear_long,receivingyear_y/r,receivingyear_td,receivingyear_y/t,redzoneyear_td%,redzoneyear_succ%,marketshareyear_rectgts,marketshareyear_rectd,marketshareyear_recyds,receivingyear_tay,receivingyear_tay%,receivingmonth_tay,receivingmonth_tay%,projections_projsacks,defenseyear_int%,defenseyear_passsucc,defenseyear_rushsucc,defenseyear_sack%,defenseyear_takeaway%,defenseyear_td%allow,defenseyear_ypp,redzoneyear_snaps,redzoneyear_snaps10,redzoneyear_snaps5,Last Name_master,City Name_master,First Name_master,RylandID_master,Position,Name + ID,Name,Id,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,City,First Name,Last Name,RylandID
hooper3000tea,58.67,Austin Hooper,3000,NE,MIA,0,0,3.17,4.5,1.8,-3.03,1.1,0.01,6.2,0,0,1,0,23,2.3,33,21,22.5,-3,1.5,43.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.06,0.06,85,0.67,42,2,100,0,0,33,0,0,3,6.3,0.2,-2500,1.82,0.19,75,35,10,20,0,0,9.10.25,TE,0,0,0,3,2,27,15,10.3,0.2,0,20,0,11.5,16.7,13.8,15.9,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,hooper,austin hooper,a,hooper3000tea,TE,Austin Hooper (39972153),Austin Hooper,39972153,TE/FLEX,3000,NE@MIA 09/14/2025 01:00PM ET,NE,2,0,a,hooper,hooper3000tea
hopkins4200wrd,58.44,DeAndre Hopkins,4200,BAL,CLE,0,0,8.01,11.4,4.6,-1.67,1.9,0.39,9.68,8,88,1,0,29,-2.1,34,28.5,17,0,-11.5,45.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.44,0.28,82,0.47,0,11.5,0,0,0,50,0,0,2,10.1,-1.9,-1300,1.92,0.3,56,13,26,23,0,0,9.10.25,WR,0,0,0,5,3,40,17,10.9,0.3,0,45.5,0,15,20,17.6,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,hopkins,deandre hopkins,d,hopkins4200wrd,WR,DeAndre Hopkins (39971747),DeAndre Hopkins,39971747,WR/FLEX,4200,CLE@BAL 09/14/2025 01:00PM ET,BAL,11.5,0,d,hopkins,hopkins4200wrd
horton3100wrt,54.65,Tory Horton,3100,SEA,PIT,0,0,4.4,6.6,2.2,-2.29,1.4,0.14,6.69,0,70,1,0,81,-0.2,0,18.3,21.3,-4.2,3,39.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.45,0,2.2,100,0,0,0,0,33,3,7.2,0,-2400,0,0,25,0,25,4,0,0,9.10.25,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,horton,tory horton,t,horton3100wrt,WR,Tory Horton (39971835),Tory Horton,39971835,WR/FLEX,3100,SEA@PIT 09/14/2025 01:00PM ET,SEA,0,0,t,horton,horton3100wrt
hubbard6000rbc,73.46,Chuba Hubbard,6000,CAR,ARI,0,0,14.72,19.4,10.1,3.24,2.5,3.38,11.48,7,94,7,0,34,3.6,48,19,25.5,-6.5,6.5,44.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,84,4.8,0.7,45.1,3.47,1.88,1.24,94,0.18,0,9.2,0,0,0,33,0,33,3,16.1,4.5,500,0.76,0.34,60,30,25,20,0,0,9.10.25,RB,71.4,72.6,79,3,3,12,6,4,0.1,0,16.7,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hubbard,chuba hubbard,c,hubbard6000rbc,RB,Chuba Hubbard (39971397),Chuba Hubbard,39971397,RB/FLEX,6000,CAR@ARI 09/14/2025 04:05PM ET,CAR,17.9,0,c,hubbard,hubbard6000rbc
hunt4500rbk,64.68,Kareem Hunt,4500,KC,PHI,0,0,6.45,8.6,4.3,-0.78,1.4,1.73,7.23,-8,41,2,0,88,-2.5,35,22.5,24,0.5,1.5,46.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,53,3.6,0.5,44.4,3.31,1.88,1.19,87,0.48,3,3.1,-200,0.38,0.13,0,0,66,3,12.4,2.3,-1000,0.72,0.35,62,29,25,24,0,0,9.10.25,RB,50,49.2,50.9,2,1,13,9,7.4,0,0,16.3,51.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hunt,kareem hunt,k,hunt4500rbk,RB,Kareem Hunt (39971453),Kareem Hunt,39971453,RB/FLEX,4500,PHI@KC 09/14/2025 04:25PM ET,KC,4.6,0,k,hunt,hunt4500rbk
hunter5200wrt,63.78,Travis Hunter,5200,JAX,CIN,0,0,12.58,17.1,8,0.18,2.4,5.54,12.4,-1,66,3,0,23,-3.8,0,23,26.5,-4.5,3.5,49.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,82,0.53,0,9.3,200,0,0,33,0,0,3,6.1,-0.8,-300,0,0,25,0,25,4,0,0,9.10.25,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hunter,travis hunter,t,hunter5200wrt,WR,Travis Hunter (39971705),Travis Hunter,39971705,WR/FLEX,5200,JAX@CIN 09/14/2025 01:00PM ET,JAX,9.3,0,t,hunter,hunter5200wrt
hurts6800qbj,78.4,Jalen Hurts,6800,PHI,KC,0,0,20.84,32.7,9,-0.88,3.1,6.61,21.72,2,83,4,0,41,-0.6,61,24,22.5,0.5,-1.5,46.5,38,16,23,185,70,7.9,7.1,1.1,35,100.3,178.9,0,0,0,4.8,0.9,9.8,10,17,43,4.4,1.1,58.3,5.71,3.06,1.76,87,0.48,3,24.3,-300,0.64,0.39,33,33,0,3,22.2,-0.9,1300,0.62,0.36,76,40,4,25,91,112,9.10.25,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hurts,jalen hurts,j,hurts6800qbj,QB,Jalen Hurts (39971298),Jalen Hurts,39971298,QB,6800,PHI@KC 09/14/2025 04:25PM ET,PHI,24.28,0,j,hurts,hurts6800qbj
indianapolis2600,30.04,Indianapolis,2600,IND,DEN,0,0,5.1,11.7,-1.5,0.26,2,3.2,4.84,-12,8,1,0,85,-1.9,0,21,22.5,0.5,1.5,43.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0.59,0,10,-200,0,0,66,33,33,3,6.6,0.6,-2900,0,0,85,33,14,21,0,0,9.10.25,D,0,0,0,0,0,0,0,0,0,0,21.74,0,0,0,0,0,0,0,0,1.6,3.31,49.82,36.78,6.43,1.73,4.11,7.45,9.47,4.6,2.83,indianapolis,indianapolis,i,indianapolis2600,D,Colts  (39972363),Indianapolis,39972363,DST,2600,DEN@IND 09/14/2025 04:05PM ET,IND,13,Indianapolis,i,indianapoli,indianapolis2600
iosivas3500wra,63.91,Andrei Iosivas,3500,CIN,JAX,0,0,5.24,7.7,2.8,-2.54,1.5,0.29,7.78,1,74,2,0,81,-1.1,52,26.5,23,4.5,-3.5,49.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.59,0.29,82,0.53,0,0,-200,0,0,0,0,0,2,8,-0.7,-2000,2.32,0.15,60,35,15,20,0,0,9.10.25,WR,0,0,0,3,2,28,17,13.7,0.4,0,60,0,9.1,14,9.5,24.3,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,iosivas,andrei iosivas,a,iosivas3500wra,WR,Andrei Iosivas (39971779),Andrei Iosivas,39971779,WR/FLEX,3500,JAX@CIN 09/14/2025 01:00PM ET,CIN,0,0,a,iosivas,iosivas3500wra
jackson7000qbl,77.81,Lamar Jackson,7000,BAL,CLE,0,0,22.66,35.2,10.1,0.43,3.2,13.17,22.23,0,68,4,0,41,-3.1,62,28.5,17,0,-11.5,45.5,46,18,27,243,66,9,9.56,2.5,46,124.2,240.5,0,0,0,9.3,1.1,4.9,7,21,49,6.4,0.3,48,4.53,2,0.59,82,0.47,0,29.4,-300,0,0,50,50,0,2,25.9,1.3,1500,0.72,0.42,90,47,0,21,0,0,9.10.25,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jackson,lamar jackson,l,jackson7000qbl,QB,Lamar Jackson (39971297),Lamar Jackson,39971297,QB,7000,CLE@BAL 09/14/2025 01:00PM ET,BAL,29.36,0,l,jackson,jackson7000qbl
jacksonville2700,55.49,Jacksonville,2700,JAX,CIN,0,0,6.34,13.1,-0.4,1.23,2.3,2.76,5.11,1,71,2,0,16,1,0,23,26.5,-4.5,3.5,49.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0.53,0,7.7,-500,0,0,66,33,33,3,4.8,-0.1,-2800,0,0,75,30,20,20,0,0,9.10.25,D,0,0,0,0,0,0,0,0,0,0,19.53,0,0,0,0,0,0,0,0,2.6,1.38,48.62,42.07,5.54,0.74,4.41,7.65,9.94,4.27,3.27,jacksonville,jacksonville,j,jacksonville2700,D,Jaguars  (39972362),Jacksonville,39972362,DST,2700,JAX@CIN 09/14/2025 01:00PM ET,JAX,11,Jacksonville,j,jacksonvill,jacksonville2700
jennings4800wrj,76.44,Jauan Jennings,4800,SF,NO,0,0,12.25,17.2,7.3,0.93,2.6,0.88,11.32,19,97,4,0,69,-3,46,21.8,18.8,-4,-3,40.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.53,0.24,0,0,0,3.6,-100,0,0,0,0,33,3,13.6,0.4,-700,1.76,0.29,56,21,17,23,0,0,9.10.25,WR,0,0,0,7,5,65,23,12.7,0.4,0,31.3,0,25.2,27.3,24.4,48.8,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,jennings,jauan jennings,j,jennings4800wrj,WR,Jauan Jennings (39971723),Jauan Jennings,39971723,WR/FLEX,4800,SF@NO 09/14/2025 01:00PM ET,SF,3.6,0,j,jennings,jennings4800wrj
jeudy5300wrj,74.18,Jerry Jeudy,5300,CLE,BAL,0,0,12.81,18.2,7.4,0.13,2.4,7.69,12.68,-2,63,4,0,26,-2.1,62,17,28.5,1,11.5,45.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.24,0.12,82,0.47,0,11.6,-100,0,0,33,0,0,3,16.3,2.5,-200,1.9,0.26,66,33,19,21,0,0,9.10.25,WR,0,0,0,8,5,75,29,13.8,0.2,0,0,0,23.2,16.7,32.5,51.3,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,jeudy,jerry jeudy,j,jeudy5300wrj,WR,Jerry Jeudy (39971701),Jerry Jeudy,39971701,WR/FLEX,5300,CLE@BAL 09/14/2025 01:00PM ET,CLE,11.6,0,j,jeudy,jeudy5300wrj
johnson2900tet,77.93,Theo Johnson,2900,NYG,DAL,0,0,6.02,8.4,3.6,0.07,2.1,0.82,5.95,0,75,3,0,87,-0.9,56,19.8,24.8,-4.7,5,44.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0.06,89,0.46,0,2.8,-100,0,0,0,0,66,3,6.1,0.5,-2600,1.73,0.11,47,28,14,21,0,0,9.10.25,TE,0,0,0,3,2,28,15,11.2,0.1,0,0,0,11.2,12.5,13.8,18.8,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,johnson,theo johnson,t,johnson2900tet,TE,Theo Johnson (39972157),Theo Johnson,39972157,TE/FLEX,2900,NYG@DAL 09/14/2025 01:00PM ET,NYG,1.5,0,t,johnson,johnson2900tet
johnson3200wrt,57.51,Tyler Johnson,3200,NYJ,BUF,0,0,3.77,5.5,2.1,-3.19,1.2,0.06,6.96,-4,57,2,0,88,1.6,22,20,26.5,2,6.5,46.5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.24,0.12,81,0.46,0,5.1,200,2.55,0.15,33,0,0,3,5.8,-0.6,-2300,2.42,0.26,36,4,9,22,0,0,9.10.25,WR,0,0,0,2,1,16,10,10.6,0.1,0,11.1,0,7.7,4.8,6.6,10.4,5.8,20,11.8,0,0,0,0,0,0,0,0,0,0,0,johnson,tyler johnson,t,johnson3200wrt,WR,Tyler Johnson (39971827),Tyler Johnson,39971827,WR/FLEX,3200,BUF@NYJ 09/14/2025 01:00PM ET,NYJ,5.1,0,t,johnson,johnson3200wrt
johnson3600tej,72.63,Juwan Johnson,3600,NO,SF,0,0,7.98,10.8,5.1,0.27,2.2,5.75,7.71,-4,54,4,0,23,-0.3,42,18.8,21.8,0,3,40.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.12,0.06,0,0,0,15.6,300,0,0,33,33,0,3,8.5,1.1,-1900,2.1,0.2,75,45,0,20,0,0,9.10.25,TE,0,0,0,4,3,32,16,10.9,0.1,0,28.6,0,13.1,11.1,14.8,22.4,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,johnson,juwan johnson,j,johnson3600tej,TE,Juwan Johnson (39972123),Juwan Johnson,39972123,TE/FLEX,3600,SF@NO 09/14/2025 01:00PM ET,NO,15.6,0,j,johnson,johnson3600tej
johnson4200rbt,55.85,Ty Johnson,4200,BUF,NYJ,0,0,3.89,5.3,2.5,-2.49,0.9,0.06,6.38,-3,57,1,0,66,-1.6,19,26.5,20,0,-6.5,46.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,13,5.4,0.1,55.3,0.88,0.25,0.19,81,0.46,0,2.4,200,0,0,0,0,33,3,5.9,-1,-1300,1.47,0.31,36,16,48,25,0,0,9.10.25,RB,3.6,10.4,30.1,1,1,16,8,14.8,0.2,0,16.7,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,johnson,ty johnson,t,johnson4200rbt,RB,Ty Johnson (39971479),Ty Johnson,39971479,RB/FLEX,4200,BUF@NYJ 09/14/2025 01:00PM ET,BUF,2.4,0,t,johnson,johnson4200rbt
johnson4900rbk,33.09,Kaleb Johnson,4900,PIT,SEA,0,0,2.55,3.4,1.7,-5.81,0.5,0,8.36,0,0,0,0,3,-1.2,0,21.3,18.3,0.3,-3,39.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.45,0,3.4,-400,0,0,33,0,66,3,3.5,-2.5,-600,0,0,25,0,75,4,0,0,9.10.25,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,johnson,kaleb johnson,k,johnson4900rbk,RB,Kaleb Johnson (39971437),Kaleb Johnson,39971437,RB/FLEX,4900,SEA@PIT 09/14/2025 01:00PM ET,PIT,-0.2,0,k,johnson,johnson4900rbk
jones3200wrz,54.55,Zay Jones,3200,ARI,CAR,0,0,4.19,6.2,2.2,-2.77,1.3,0.15,6.96,-2,63,0,0,69,-0.5,23,25.5,19,4.5,-6.5,44.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0.18,0,1.4,-100,0,0,0,0,33,3,3,-1.1,-2300,2.97,0.13,15,5,15,20,0,0,9.10.25,WR,0,0,0,1,0,7,5,10.5,0,0,0,0,3.1,0,3.1,10.8,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,jones,zay jones,z,jones3200wrz,WR,Zay Jones (39971823),Zay Jones,39971823,WR/FLEX,3200,CAR@ARI 09/14/2025 04:05PM ET,ARI,1.4,0,z,jones,jones3200wrz
jones4000qbm,70.76,Mac Jones,4000,SF,NO,0,0,15.71,25.9,5.5,1.14,3.9,15,14.57,0,0,2,0,97,-2.4,49,21.8,18.8,-4,-3,40.5,28,17,26,167,65,6.4,5,0.8,32,76.9,193.3,0,0,0,3.1,3.1,5.1,2,5,9,3.3,0.1,53.6,1.88,0.82,0.41,0,0,0,4.8,-200,0,0,0,0,33,3,9.4,-1.7,-1500,0.31,0.19,40,15,20,20,0,0,9.10.25,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jones,mac jones,m,jones4000qbm,QB,Mac Jones (39971331),Mac Jones,39971331,QB,4000,SF@NO 09/14/2025 01:00PM ET,SF,0,0,m,jones,jones4000qbm
jones5200qbd,67.27,Daniel Jones,5200,IND,DEN,0,0,15.73,25.1,6.3,-1.9,3,0.51,17.63,3,87,1,0,97,-2.2,67,21,22.5,0.5,1.5,43.5,46,21,33,209,64,6.3,5.15,0.9,29,113.7,254.8,0,0,0,2.7,1.8,7.6,6,10,27,4.1,0.2,59,2.42,1.37,0.74,82,0.59,0,16.8,100,0,0,33,33,33,3,14.2,-1.6,-300,0.33,0.21,54,22,9,22,0,0,9.10.25,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jones,daniel jones,d,jones5200qbd,QB,Daniel Jones (39971313),Daniel Jones,39971313,QB,5200,DEN@IND 09/14/2025 04:05PM ET,IND,29.48,0,d,jones,jones5200qbd
judkins5100rbq,46.2,Quinshon Judkins,5100,CLE,BAL,0,0,4.61,6,3.2,-4.32,0.9,0,8.93,0,0,0,0,50,-1.9,0,17,28.5,1,11.5,45.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0.47,0,0,0,0,0,0,0,0,3,0,0,-400,0,0,0,0,0,4,0,0,9.10.25,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,judkins,quinshon judkins,q,judkins5100rbq,RB,Quinshon Judkins (39971429),Quinshon Judkins,39971429,RB/FLEX,5100,CLE@BAL 09/14/2025 01:00PM ET,CLE,0,0,q,judkins,judkins5100rbq
juszczyk4000rbk,50.6,Kyle Juszczyk,4000,SF,NO,0,0,3.63,4.8,2.5,-2.18,0.9,0,5.81,0,0,1,0,13,0.2,31,21.8,18.8,-4,-3,40.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.2,0.1,40,0.29,0.24,0.12,0,0,0,5.2,0,0,0,33,0,0,3,3.7,-0.5,-1500,1.77,0.12,27,4,45,22,0,0,9.10.25,RB,6.7,1.3,49.4,1,1,10,8,9.4,0.1,0,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,juszczyk,kyle juszczyk,k,juszczyk4000rbk,RB,Kyle Juszczyk (39971583),Kyle Juszczyk,39971583,RB/FLEX,4000,SF@NO 09/14/2025 01:00PM ET,SF,5.2,0,k,juszczyk,juszczyk4000rbk
kamara6100rba,79.76,Alvin Kamara,6100,NO,SF,0,0,15.49,20,11,3.72,2.5,13.16,11.77,-3,57,6,0,81,1.3,46,18.8,21.8,0,3,40.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,66,4.1,0.4,39,2.29,0.82,0.53,0,0,0,13.7,-200,0,0,33,0,0,3,19,2.1,600,0.83,0.41,50,15,15,20,0,0,9.10.25,RB,38.5,55.9,72.3,6,4,39,21,8.2,0.2,0,18.2,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kamara,alvin kamara,a,kamara6100rba,RB,Alvin Kamara (39971395),Alvin Kamara,39971395,RB/FLEX,6100,SF@NO 09/14/2025 01:00PM ET,NO,13.7,0,a,kamara,kamara6100rba
kansas city2800,22.81,Kansas City,2800,KC,PHI,0,0,4.94,12.2,-2.3,-0.43,1.8,5.05,5.37,-13,6,1,0,41,-2.5,0,22.5,24,0.5,1.5,46.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.48,3,3.7,-300,0,0,33,0,66,3,6,-0.5,-2700,0,0,79,29,20,24,0,0,9.10.25,D,0,0,0,0,0,0,0,0,0,0,17.37,0,0,0,0,0,0,0,0,1.8,2.31,49.82,39.17,7.3,1.34,3.91,7.14,10.44,4.69,3.38,city,kansas city,k,kansas city2800,D,Chiefs  (39972360),Kansas City,39972360,DST,2800,PHI@KC 09/14/2025 04:25PM ET,KC,3,Kansas City,k,city,kansas city2800
kelce5000tet,81.64,Travis Kelce,5000,KC,PHI,0,0,11.31,15.1,7.5,0.06,2.3,15.17,11.25,-1,68,5,0,19,1,58,22.5,24,0.5,1.5,46.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0.65,0.29,87,0.48,3,9,-200,2.24,0.18,33,0,33,3,13.4,0.4,-500,1.6,0.23,60,34,26,23,0,0,9.10.25,TE,0,0,0,8,6,52,19,8.7,0.3,0,11.5,0,23.6,16,21.4,30.1,23.2,23,8.9,0,0,0,0,0,0,0,0,0,0,0,kelce,travis kelce,t,kelce5000tet,TE,Travis Kelce (39972099),Travis Kelce,39972099,TE/FLEX,5000,PHI@KC 09/14/2025 04:25PM ET,KC,12.7,0,t,kelce,kelce5000tet
kincaid3700ted,81.13,Dalton Kincaid,3700,BUF,NYJ,0,0,7.92,10.9,5,-0.05,2.1,2.29,7.97,1,81,5,0,75,0.8,36,26.5,20,0,-6.5,46.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.25,0,81,0.46,0,14.8,0,0,0,33,33,0,3,7.6,-1.6,-1800,1.21,0.21,52,8,17,23,0,0,9.10.25,TE,0,0,0,6,3,36,18,10.4,0.2,0,30,0,20.8,10,15.1,16.1,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,kincaid,dalton kincaid,d,kincaid3700ted,TE,Dalton Kincaid (39972121),Dalton Kincaid,39972121,TE/FLEX,3700,BUF@NYJ 09/14/2025 01:00PM ET,BUF,14.8,0,d,kincaid,kincaid3700ted
kmet3200tec,70.87,Cole Kmet,3200,CHI,DET,0,0,5.06,7.2,2.9,-1.64,1.6,0.55,6.7,-2,62,1,0,75,-0.5,60,20,26.5,-6.5,6.5,46.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.24,0.12,0,0,0,4,-100,0,0,33,0,33,3,8.5,0.1,-2300,2.5,0.14,60,20,15,20,0,0,9.10.25,TE,0,0,0,3,2,29,13,10.2,0.3,0,42.9,0,10.8,20,13.6,22.4,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,kmet,cole kmet,c,kmet3200tec,TE,Cole Kmet (39972141),Cole Kmet,39972141,TE/FLEX,3200,CHI@DET 09/14/2025 01:00PM ET,CHI,4.1,0,c,kmet,kmet3200tec
knox2700ted,71.98,Dawson Knox,2700,BUF,NYJ,0,0,3.55,5.1,2,-1.89,1.3,0.39,5.44,-4,54,3,0,91,0.8,39,26.5,20,0,-6.5,46.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.13,0,81,0.46,0,4,0,0,0,33,0,0,3,4.6,-1.8,-2800,2.09,0.12,58,20,25,24,0,0,9.10.25,TE,0,0,0,2,1,20,14,13.7,0.1,0,20,0,7.3,3.8,8.4,16.2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,knox,dawson knox,d,knox2700ted,TE,Dawson Knox (39972167),Dawson Knox,39972167,TE/FLEX,2700,BUF@NYJ 09/14/2025 01:00PM ET,BUF,4,0,d,knox,knox2700ted
kolar2500tec,68.45,Charlie Kolar,2500,BAL,CLE,0,0,3.53,5.1,2,-1.41,1.4,0.02,4.94,0,0,3,0,91,-1.1,20,28.5,17,0,-11.5,45.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,82,0.47,0,5,0,0,0,0,0,50,2,3.7,-0.2,-3000,3.74,0.19,36,4,9,22,0,0,9.10.25,TE,0,0,0,0,0,10,10,14.6,0.1,0,100,0,3.4,3.6,4.4,7.9,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,kolar,charlie kolar,c,kolar2500tec,TE,Charlie Kolar (39972337),Charlie Kolar,39972337,TE/FLEX,2500,CLE@BAL 09/14/2025 01:00PM ET,BAL,0,0,c,kolar,kolar2500tec
kupp5000wrc,61.13,Cooper Kupp,5000,SEA,PIT,0,0,9.01,12.7,5.3,-2.85,1.8,0.39,11.86,10,91,1,0,23,-0.2,50,18.3,21.3,-4.2,3,39.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.35,0.12,80,0.45,0,3.5,-300,0,0,0,0,33,3,13.5,-2.4,-500,1.88,0.27,37,8,25,24,0,0,9.10.25,WR,0,0,0,7,4,54,24,11.3,0.5,0,42.9,0,23.7,29.4,23.2,33.8,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,kupp,cooper kupp,c,kupp5000wrc,WR,Cooper Kupp (39971715),Cooper Kupp,39971715,WR/FLEX,5000,SEA@PIT 09/14/2025 01:00PM ET,SEA,3.5,0,c,kupp,kupp5000wrc
la rams3100,87.84,LA Rams,3100,LA,TEN,0,0,8.02,16.1,0,1.84,2.6,2.84,6.18,12,97,6,0,85,4.5,0,23.5,18,-1.5,-5.5,41.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0.45,0,6.7,-300,0,0,66,33,33,3,7.3,2,-2400,0,0,72,48,28,25,0,0,9.10.25,D,0,0,0,0,0,0,0,0,0,0,17.33,0,0,0,0,0,0,0,0,2.8,2.4,52.21,39.96,7.2,1.29,4.04,7.51,9.38,4.33,2.43,rams,la rams,l,la rams3100,D,Rams  (39972353),LA Rams,39972353,DST,3100,LAR@TEN 09/14/2025 01:00PM ET,LAR,11,LA Rams,l,rams,la rams3100
