,rating,name,salary,team,opp,exposure_min,exposure_max,projections_proj,projections_ceiling,projections_floor,projections_proj+/-,projections_pts/sal,projections_projown,projections_imppts,projections_leverage+/-,projections_leverage,trends_pro,trends_my,trends_bargain,trends_opp+/-,trends_snaps,vegas_pts,vegas_opppts,vegas_δ,vegas_spread,vegas_o/u,vegas_spread%,passingyear_comp,passingyear_att,passingyear_yards,passingyear_%,passingyear_y/a,passingyear_adjypa,passingyear_td,passingyear_long,passingyear_cay,passingyear_iay,passingyear_%rb,passingyear_%wr,passingyear_%te,passingyear_td%,passingyear_int%,passingyear_sack%,rushingyear_att,rushingyear_rushlong,rushingyear_yards,rushingyear_y/a,rushingyear_td,rushingyear_successrate,redzoneyear_opp,redzoneyear_opp10,redzoneyear_opp5,weather_temp,weather_humidity,weather_precip%,fantasymonth_ppg,fantasymonth_change,fantasymonth_fp/oppor,fantasymonth_fp/snap,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_change,fantasyyear_fp/oppor,fantasyyear_fp/snap,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,passingmonth_cay,passingmonth_iay,slate_id,pos,marketshareyear_rushtd,marketshareyear_rushyds,marketshareyear_snaps,receivingyear_tgts,receivingyear_receptions,receivingyear_yds,receivingyear_long,receivingyear_y/r,receivingyear_td,receivingyear_y/t,redzoneyear_td%,redzoneyear_succ%,marketshareyear_rectgts,marketshareyear_rectd,marketshareyear_recyds,receivingyear_tay,receivingyear_tay%,receivingmonth_tay,receivingmonth_tay%,projections_projsacks,defenseyear_int%,defenseyear_passsucc,defenseyear_rushsucc,defenseyear_sack%,defenseyear_takeaway%,defenseyear_td%allow,defenseyear_ypp,redzoneyear_snaps,redzoneyear_snaps10,redzoneyear_snaps5,Last Name_master,City Name_master,First Name_master,RylandID_master,Position,Name + ID,Name,Id,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,City,First Name,Last Name,RylandID
henderson5500rbt,55.3,T. Henderson,5500,NE,MIA,0,0,11.19,14.5,7.9,1.12,2,1.54,10.07,2,83,1,0,5,-1.9,0,21,22.5,-3,1.5,43.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,0.67,42,9.6,0,0,0,66,0,0,3,10.4,0.3,0,0,0,75,0,0,4,0,0,9.10.25,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,henderson,t. henderson,t,henderson5500rbt,RB,TreVeyon Henderson (39971413),TreVeyon Henderson,39971413,RB/FLEX,5500,NE@MIA 09/14/2025 01:00PM ET,NE,11.1,0,t,henderson,henderson5500rbt
henry4000teh,77.74,Hunter Henry,4000,NE,MIA,0,0,9.36,12.8,5.9,0.64,2.3,1.99,8.72,8,96,5,0,15,2.3,52,21,22.5,-3,1.5,43.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0.65,0.24,85,0.67,42,10.6,100,0,0,33,33,0,3,10.3,1.3,-1500,1.65,0.2,65,45,10,20,0,0,9.10.25,TE,0,0,0,6,4,43,16,10.3,0.1,0,11.1,0,20.9,11.8,22,23.7,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,henry,hunter henry,h,henry4000teh,TE,Hunter Henry (39972111),Hunter Henry,39972111,TE/FLEX,4000,NE@MIA 09/14/2025 01:00PM ET,NE,10.6,0,h,henry,henry4000teh
henry8200rbd,75.99,Derrick Henry,8200,BAL,CLE,0,0,19.57,25.8,13.3,1.85,2.4,15.99,17.72,3,86,8,0,77,-2.7,37,28.5,17,0,-11.5,45.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,117,6,0.9,47.1,3.53,1.94,1.18,82,0.47,0,33.2,1000,0,0,50,50,0,2,22.6,5.5,2700,1.09,0.61,77,40,13,22,0,0,9.10.25,RB,75,62.4,58.1,1,1,12,9,10.2,0.1,0,21.8,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,henry,derrick henry,d,henry8200rbd,RB,Derrick Henry (39971373),Derrick Henry,39971373,RB/FLEX,8200,CLE@BAL 09/14/2025 01:00PM ET,BAL,33.2,0,d,henry,henry8200rbd
higbee3100tet,70.68,Tyler Higbee,3100,LA,TEN,0,0,5.38,7.5,3.3,-1.07,1.7,0.12,6.45,8,96,2,0,82,-3.4,19,23.5,18,-1.5,-5.5,41.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.18,0.06,85,0.45,0,0,-300,0,0,0,0,0,3,11.2,1,-2400,2.79,0.59,22,18,0,22,0,0,9.10.25,TE,0,0,0,4,2,22,11,8.3,0.7,0,33.3,0,13.8,66.7,10.4,6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,higbee,tyler higbee,t,higbee3100tet,TE,Tyler Higbee (39972145),Tyler Higbee,39972145,TE/FLEX,3100,LAR@TEN 09/14/2025 01:00PM ET,LAR,0,0,t,higbee,higbee3100tet
higgins2500tee,56.82,Elijah Higgins,2500,ARI,CAR,0,0,2.11,3,1.2,-2.83,0.8,0.02,4.94,0,0,1,0,75,-1.7,24,25.5,19,4.5,-6.5,44.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.12,0.06,94,0.18,0,1.3,0,0,0,0,0,0,3,3.5,-0.4,-3000,2.56,0.15,55,5,10,20,0,0,9.10.25,TE,0,0,0,1,1,10,7,8.9,0.1,0,50,0,4.5,10,4.3,6.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,higgins,elijah higgins,e,higgins2500tee,TE,Elijah Higgins (39972229),Elijah Higgins,39972229,TE/FLEX,2500,CAR@ARI 09/14/2025 04:05PM ET,ARI,1.3,0,e,higgins,higgins2500tee
higgins6100wrt,83.4,Tee Higgins,6100,CIN,JAX,0,0,16.42,22.6,10.2,1.57,2.7,18.14,14.85,-2,63,6,0,69,-1.1,53,26.5,23,4.5,-3.5,49.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.82,0.59,82,0.53,0,6.3,-300,0,0,0,0,50,2,17.9,1.1,600,1.97,0.34,50,15,20,20,0,0,9.10.25,WR,0,0,0,9,6,75,24,12.5,0.8,0,29.2,0,24.8,32.3,25.4,56.9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,higgins,tee higgins,t,higgins6100wrt,WR,Tee Higgins (39971675),Tee Higgins,39971675,WR/FLEX,6100,JAX@CIN 09/14/2025 01:00PM ET,CIN,6.3,0,t,higgins,higgins6100wrt
hill2500tej,61.5,Julian Hill,2500,MIA,NE,0,0,3.03,4.3,1.8,-1.91,1.2,0.02,4.94,0,0,1,0,66,-1.3,31,22.5,21,1,-1.5,43.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.06,0,85,0.67,42,2,-200,0,0,33,0,0,3,2.7,-0.7,-3000,2.34,0.09,47,0,0,19,0,0,9.10.25,TE,0,0,0,1,0,6,4,8.5,0,0,0,0,3.4,0,2.9,4.3,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,hill,julian hill,j,hill2500tej,TE,Julian Hill (39972181),Julian Hill,39972181,TE/FLEX,2500,NE@MIA 09/14/2025 01:00PM ET,MIA,2,0,j,hill,hill2500tej
hill4200rbj,71.51,Justice Hill,4200,BAL,CLE,0,0,7,9.2,4.8,0.62,1.7,0.28,6.38,-1,67,5,0,88,-2.7,26,28.5,17,0,-11.5,45.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16,4.9,0.1,41.3,0.71,0.12,0.06,82,0.47,0,-0.1,0,0,0,0,0,50,2,8.6,0.1,-1300,1.35,0.33,52,21,30,23,0,0,9.10.25,RB,6.3,8.9,41.4,3,2,23,12,9.2,0.2,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hill,justice hill,j,hill4200rbj,RB,Justice Hill (39971485),Justice Hill,39971485,RB/FLEX,4200,CLE@BAL 09/14/2025 01:00PM ET,BAL,-0.1,0,j,hill,hill4200rbj
hill6400wrt,73.14,Tyreek Hill,6400,MIA,NE,0,0,15.26,21,9.5,-0.41,2.4,6.97,15.67,10,91,5,0,26,-2.5,53,22.5,21,1,-1.5,43.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0.56,0.25,85,0.67,42,8,-300,0,0,0,0,33,3,12.2,-5.1,900,1.63,0.23,33,14,52,21,0,0,9.10.25,WR,0,0,0,7,4,53,20,11.3,0.3,0,29.4,0,21.2,25,23.1,41.5,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,hill,tyreek hill,t,hill6400wrt,WR,Tyreek Hill (39971669),Tyreek Hill,39971669,WR/FLEX,6400,NE@MIA 09/14/2025 01:00PM ET,MIA,8,0,t,hill,hill6400wrt
hollins3000wrm,56.04,Mack Hollins,3000,NE,MIA,0,0,2.57,4,1.1,-3.85,0.9,0.01,6.42,0,0,2,0,85,-1.1,43,21,22.5,-3,1.5,43.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.13,85,0.67,42,4.1,-100,0,0,33,0,33,3,6.4,-0.9,-2500,2.05,0.15,75,29,8,24,0,0,9.10.25,WR,0,0,0,3,1,23,13,12.2,0.3,0,50,0,10.3,14.8,9.9,18.9,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,hollins,mack hollins,m,hollins3000wrm,WR,Mack Hollins (39971847),Mack Hollins,39971847,WR/FLEX,3000,NE@MIA 09/14/2025 01:00PM ET,NE,1.3,0,m,hollins,hollins3000wrm
